index,product_SMILES,route_name,routescore,visited_nodes
42,CC(C)(C)c1ccc2c(-c3ccccc3-c3ccnc(F)c3)c3ccccc3c(-c3ccccc3-c3ccnc(F)c3)c2c1,1,63345.46950050858,"[5117, 1224, 30, 3861, 3862, 3947, 8, 11, 3861, 3862]"
43,Fc1cc(-c2ccccc2-c2cc(F)c(-c3ccccc3-c3ccnc(F)c3)cc2F)ccn1,1,55782.379421657,"[5118, 1224, 31, 3861, 3862, 3947, 8, 11, 3861, 3862]"
44,Fc1cc(-c2ccccc2-c2ccc3oc(-c4ccccc4-c4ccnc(F)c4)cc3c2)ccn1,1,34943098.53635673,"[5119, 1224, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3947, 8, 11, 3861, 3862]"
45,Fc1cc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)o2)ccn1,1,56380.810615223934,"[5120, 1224, 33, 3861, 3862, 3947, 8, 11, 3861, 3862]"
46,Fc1cc(-c2ccccc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4ccccc4-c4ccnc(F)c4)ccc2-3)ccn1,1,57204.44909928389,"[5121, 1224, 34, 3861, 3862, 3947, 8, 11, 3861, 3862]"
47,Fc1cc(-c2ccccc2-c2cc(-c3ccccc3-c3ccnc(F)c3)c(Cl)cc2Cl)ccn1,1,64158.93247483411,"[5122, 1224, 35, 3861, 3862, 3947, 8, 11, 3861, 3862]"
48,Fc1cc(-c2ccccc2-c2cnc3nc(-c4ccccc4-c4ccnc(F)c4)ccc3c2)ccn1,1,58957.40574631446,"[5123, 1224, 36, 3861, 3862, 3947, 8, 11, 3861, 3862]"
49,Fc1cc(-c2ccccc2-c2cccc3cccc(-c4ccccc4-c4ccnc(F)c4)c23)ccn1,1,56195.10674433123,"[5124, 1224, 37, 3861, 3862, 3947, 8, 11, 3861, 3862]"
50,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccccc3-c3ccnc(F)c3)ccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)cc21,1,57077.168894855466,"[5125, 1224, 38, 3861, 3862, 3947, 8, 11, 3861, 3862]"
51,Fc1cc(-c2ccccc2-c2c(F)c(F)c(-c3ccccc3-c3ccnc(F)c3)c3nsnc23)ccn1,1,56453.581684580924,"[5126, 1224, 39, 3861, 3862, 3947, 8, 11, 3861, 3862]"
52,C[Si](C)(c1ccc(-c2ccccc2-c2ccnc(F)c2)cc1)c1ccc(-c2ccccc2-c2ccnc(F)c2)cc1,1,5735711.606295572,"[5127, 1224, 40, 3861, 3862, 7753, 3881, 3882, 3883, 3947, 8, 11, 3861, 3862]"
53,Fc1cc(-c2ccccc2-c2ccc3nc4ccc(-c5ccccc5-c5ccnc(F)c5)cc4nc3c2)ccn1,1,61512.85037213368,"[5128, 1224, 41, 3861, 3862, 3947, 8, 11, 3861, 3862]"
