,mol_matches,rxn_matches,total_matches,rs_mols,rs_rxns,rs_total,fg_mols,fg_rxns,fg_total
number,3431,1276,4707,3885,3869,7754,3791,4162,7953
wingSuzuki,3431,1276,4707,3885,110,7754,3791,110,7953
pentamerSuzuki,3431,1276,4707,3885,1980,7754,3791,1980,7953
deBoc,3431,1276,4707,3885,247,7754,3791,259,7953
BHA,3431,1276,4707,3885,247,7754,3791,259,7953
SNAr,3431,1276,4707,3885,1280,7754,3791,1549,7953
