index,product_SMILES,route_name,routescore,visited_nodes
18,Fc1cc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)ccn1,1,39829028.70013458,"[7576, 1156, 45, 3866, 5046, 1148, 31, 3861, 3862, 3943, 8, 22, 3861, 3862]"
19,Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5ccnc(F)c5)cc4)c4ccccc4c3)cc2)ccn1,1,60189.950240623715,"[5005, 1110, 26, 3861, 3862, 3941, 8, 20, 3861, 3862]"
20,Fc1cc(-c2ccc(-c3cc(Cl)c(-c4ccc(-c5ccnc(F)c5)cc4)s3)cc2)ccn1,1,60795.40900298585,"[5006, 1110, 27, 3861, 3862, 3941, 8, 20, 3861, 3862]"
21,Cc1nc2c(-c3ccc(-c4ccnc(F)c4)cc3)c3nsnc3c(-c3ccc(-c4ccnc(F)c4)cc3)c2nc1C,1,65728.82585037596,"[5007, 1110, 28, 3861, 3862, 3941, 8, 20, 3861, 3862]"
22,Fc1cc(-c2ccc(-c3ccccc3Oc3ccccc3-c3ccc(-c4ccnc(F)c4)cc3)cc2)ccn1,1,58652.95324724515,"[5008, 1110, 29, 3861, 3862, 3941, 8, 20, 3861, 3862]"
23,CC(C)(C)c1ccc2c(-c3ccc(-c4ccnc(F)c4)cc3)c3ccccc3c(-c3ccc(-c4ccnc(F)c4)cc3)c2c1,1,65498.72165960904,"[5009, 1110, 30, 3861, 3862, 3941, 8, 20, 3861, 3862]"
24,Fc1cc(-c2ccc(-c3cc(F)c(-c4ccc(-c5ccnc(F)c5)cc4)cc3F)cc2)ccn1,1,57935.631293447026,"[5010, 1110, 31, 3861, 3862, 3941, 8, 20, 3861, 3862]"
25,Fc1cc(-c2ccc(-c3ccc4oc(-c5ccc(-c6ccnc(F)c6)cc5)cc4c3)cc2)ccn1,1,34945452.496210255,"[5011, 1110, 32, 3861, 3862, 7750, 3872, 3873, 3874, 7749, 3868, 3869, 3870, 3871, 3941, 8, 20, 3861, 3862]"
26,Fc1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(F)c5)cc4)o3)cc2)ccn1,1,58534.06251677331,"[5012, 1110, 33, 3861, 3862, 3941, 8, 20, 3861, 3862]"
27,Fc1cc(-c2ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(-c6ccnc(F)c6)cc5)ccc3-4)cc2)ccn1,1,59357.70100236155,"[5013, 1110, 34, 3861, 3862, 3941, 8, 20, 3861, 3862]"
