,Unnamed: 0,Unnamed: 0.1,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score
10,10.0,10.0,Fc1cc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)ccc4c3)c2-n2c3ccccc3c3ccccc32)ccn1,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,10.0,Brc1cnc2nc(Br)ccc2c1,0.2471723832045525,0.024156764165854,0.4826699132622354,0.000498989592574,0.5743795260382928,0.0005402459804481,21750700.44490312
11,11.0,11.0,Fc1cc(-c2cccc(-c3cccc4cccc(-c5cccc(-c6ccnc(F)c6)c5-n5c6ccccc6c6ccccc65)c34)c2-n2c3ccccc3c3ccccc32)ccn1,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,11.0,Brc1cccc2cccc(Br)c12,0.7065543736032078,5.652872870960301e-05,0.0830182823767802,0.2072037825945933,0.0002395693359439,0.4054664652386681,21734161.7221602
12,12.0,12.0,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)cc21,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,12.0,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.3084597064084695,0.1080232143544252,0.3134329669372586,8.012749152876841e-05,0.0037039505956798,0.0002959672098791,23552610.814379606
13,13.0,13.0,Fc1cc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)c4nsnc34)c2-n2c3ccccc3c3ccccc32)ccn1,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,13.0,Fc1c(F)c(Br)c2nsnc2c1Br,0.0595479817797193,0.0014446395212488,0.0026351044867025,0.0529661211369825,0.4567106933564657,0.0010505407834918,22039002.550222617
14,14.0,14.0,C[Si](C)(c1ccc(-c2cccc(-c3ccnc(F)c3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3ccnc(F)c3)c2-n2c3ccccc3c3ccccc32)cc1,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,14.0,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.0572259534919834,0.0098446037027713,0.6902705690098464,0.0001886983660148,0.0056265357777619,0.0002702993097629,27996674.28954917
15,15.0,15.0,Fc1cc(-c2cccc(-c3ccc4nc5ccc(-c6cccc(-c7ccnc(F)c7)c6-n6c7ccccc7c7ccccc76)cc5nc4c3)c2-n2c3ccccc3c3ccccc32)ccn1,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,15.0,Brc1ccc2nc3ccc(Br)cc3nc2c1,0.0449166856431605,9.78581951605538e-05,0.0024401660643868,0.0618178905813398,0.283148918565336,0.0012934046576802,22099979.723391563
16,16.0,16.0,C[Si](C)(c1ccccc1-c1cccc(-c2ccnc(F)c2)c1-n1c2ccccc2c2ccccc21)c1ccccc1-c1cccc(-c2ccnc(F)c2)c1-n1c2ccccc2c2ccccc21,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,16.0,C[Si](C)(c1ccccc1Br)c1ccccc1Br,0.0476779320793516,0.0068892649055255,0.5368692976795201,0.0006895536105004,0.1287554869313547,0.0003698389726581,30191191.365301248
17,17.0,17.0,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)nc3)c2-n2c3ccccc3c3ccccc32)ccn1,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,17.0,Brc1ccc(Br)nc1,0.0155788964804842,0.0022789848821083,0.364416225975803,0.0014443033802199,0.0706186633182657,0.0003431283255332,21393810.39283963
18,18.0,18.0,Fc1cc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)ccn1,0.0,OB(O)c1ccnc(F)c1,0.0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,18.0,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,0.27637321626196,0.0307414324266631,0.2868363278169142,0.0007299888469073,0.7384289998286947,0.000641145545675,39829028.70013458
19,19.0,19.0,Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5ccnc(F)c5)cc4)c4ccccc4c3)cc2)ccn1,0.0,OB(O)c1ccnc(F)c1,1.0,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,0.0,Brc1cc(Br)c2ccccc2c1,0.117526955085138,0.2132619736131715,0.0213697461198492,3.485565019730716e-05,0.0007485165661482,0.0001241772064632,60189.95024062372
