,Unnamed: 0,a,ab,b,c,pentamer,F,carbazole,N-Boc,N-H,halide,Step details,RouteScore details,Isolated,RouteScore,log(RouteScore),Total manual steps,Successfully processed?,Route type,Type,Manual steps
1,361.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[Si](C)(c1ccccc1-c1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-n1c2ccccc2c2ccccc21)c1ccccc1-c1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-n1c2ccccc2c2ccccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccccc3[Si](C)(C)c3ccccc3-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccccc3[Si](C)(C)c3ccccc3-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cccc3-n3c4ccccc4c4ccccc43)ccc21,C[Si](C)(c1ccccc1-c1c(-c2ccc3[nH]ccc3c2)cccc1-n1c2ccccc2c2ccccc21)c1ccccc1-c1c(-c2ccc3[nH]ccc3c2)cccc1-n1c2ccccc2c2ccccc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 131.45621630796686, 'cost': 0.22001161712441522, 'time': 0.24804259351539967, 'money': 12.9944195, 'materials': 0.06825940000000004, 'yield': 1, '# man steps': 2}, {'reaction': 'SNAr', 'StepScore': 398.7195317909339, 'cost': 398.7195317909339, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05758013333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 225.51437989137705, 'cost': 225.51437989137705, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03257863333333333, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 228.2028213516893, 'cost': 228.2028213516893, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03831311666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 59107033.411013484, 'Cost factor': 59107033.411013484, 'sum Stepscores': 985.1172235168914, 'n_Target': 1.6666666666666667e-05}",0.01802286666666666,59107033.411013484,7.771639162604544,5.0,True,S-B,Manual,Both
10,370.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2ccc3oc(-c4c(-c5ccc6c(ccn6-c6cnccn6)c5)cccc4-n4c5ccccc5c5ccccc54)cc3c2)c(-n2c3ccccc3c3ccccc32)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccc4oc(-c5c(F)cccc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cc4c3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccc4oc(-c5c(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cccc5-n5c6ccccc6c6ccccc65)cc4c3)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-c2ccc3oc(-c4c(-c5ccc6[nH]ccc6c5)cccc4-n4c5ccccc5c5ccccc54)cc3c2)c(-n2c3ccccc3c3ccccc32)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 581.6740590286837, 'cost': 0.21494946824419137, 'time': 0.24804259351539967, 'money': 12.9944195, 'materials': 0.06668885000000004, 'yield': 1, '# man steps': 2}, {'reaction': 'SNAr', 'StepScore': 387.84409742837164, 'cost': 387.84409742837164, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05600958333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 214.64278789687754, 'cost': 214.64278789687754, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.031008083333333332, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 218.84821978815438, 'cost': 218.84821978815438, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03674256666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 84254006.2990207, 'Cost factor': 84254006.2990207, 'sum Stepscores': 1404.2334383170116, 'n_Target': 1.6666666666666667e-05}",0.016452316666666664,84254006.2990207,7.925590560845337,5.0,True,S-B,Manual,Both
18,378.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2c(-c3ccc4c(ccn4-c4cnccn4)c3)cccc2-n2c3ccccc3c3ccccc32)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3ccc([Si](C)(C)c4ccc(-c5c(F)cccc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cc4)cc3)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-n4c5ccccc5c5ccccc54)c3-c3ccc([Si](C)(C)c4ccc(-c5c(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cccc5-n5c6ccccc6c6ccccc65)cc4)cc3)ccc21,C[Si](C)(c1ccc(-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2c(-c3ccc4[nH]ccc4c3)cccc2-n2c3ccccc3c3ccccc32)cc1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.2242741749242523, 'cost': 1.2242741749242523, 'time': 0.24804259351539967, 'money': 27.067496306666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 94.88093171209896, 'cost': 0.22001161712441522, 'time': 0.24804259351539967, 'money': 12.9944195, 'materials': 0.06825940000000004, 'yield': 1, '# man steps': 1}, {'reaction': 'SNAr', 'StepScore': 398.7195317909339, 'cost': 398.7195317909339, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05758013333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 225.51437989137705, 'cost': 225.51437989137705, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03257863333333333, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 228.2028213516893, 'cost': 228.2028213516893, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03831311666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 56912516.335261405, 'Cost factor': 56912516.335261405, 'sum Stepscores': 948.5419389210234, 'n_Target': 1.6666666666666667e-05}",0.01802286666666666,56912516.335261405,7.755207787969229,4.0,True,S-B,Manual,Both
21,418.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)c3F)ccc21,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[Si](C)(c1ccccc1-c1cccc(-c2ccc3c(ccn3-c3cnccn3)c2)c1-n1c2ccccc2c2ccccc21)c1ccccc1-c1cccc(-c2ccc3c(ccn3-c3cnccn3)c2)c1-n1c2ccccc2c2ccccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccccc4[Si](C)(C)c4ccccc4-c4cccc(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)c4F)c3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccccc4[Si](C)(C)c4ccccc4-c4cccc(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)c4-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)ccc21,C[Si](C)(c1ccccc1-c1cccc(-c2ccc3[nH]ccc3c2)c1-n1c2ccccc2c2ccccc21)c1ccccc1-c1cccc(-c2ccc3[nH]ccc3c2)c1-n1c2ccccc2c2ccccc21,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.223080388597903, 'cost': 1.223080388597903, 'time': 0.24804259351539967, 'money': 27.041102866666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 131.45621630796686, 'cost': 0.22001161712441517, 'time': 0.24804259351539967, 'money': 12.9944195, 'materials': 0.06825940000000003, 'yield': 1, '# man steps': 2}, {'reaction': 'SNAr', 'StepScore': 398.7195317909339, 'cost': 398.7195317909339, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05758013333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 225.51437989137705, 'cost': 225.51437989137705, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.03257863333333333, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 228.2028213516893, 'cost': 228.2028213516893, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03831311666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 59106961.7838339, 'Cost factor': 59106961.7838339, 'sum Stepscores': 985.1160297305651, 'n_Target': 1.6666666666666667e-05}",0.018022866666666665,59106961.7838339,7.771638636316792,5.0,True,S-B,Manual,Both
30,427.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)c3F)ccc21,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1cc(-c2ccc3oc(-c4cccc(-c5ccc6c(ccn6-c6cnccn6)c5)c4-n4c5ccccc5c5ccccc54)cc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3c(ccn3-c3cnccn3)c2)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccc5oc(-c6cccc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)c6F)cc5c4)c3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccc5oc(-c6cccc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)c6-n6c7ccccc7c7ccccc76)cc5c4)c3-n3c4ccccc4c4ccccc43)ccc21,c1cc(-c2ccc3[nH]ccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3oc(-c4cccc(-c5ccc6[nH]ccc6c5)c4-n4c5ccccc5c5ccccc54)cc3c2)c1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.223080388597903, 'cost': 1.223080388597903, 'time': 0.24804259351539967, 'money': 27.041102866666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 581.6740590286837, 'cost': 0.21494946824419137, 'time': 0.24804259351539967, 'money': 12.9944195, 'materials': 0.06668885000000004, 'yield': 1, '# man steps': 2}, {'reaction': 'SNAr', 'StepScore': 387.84409742837164, 'cost': 387.84409742837164, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05600958333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 214.64278789687754, 'cost': 214.64278789687754, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.031008083333333332, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 218.84821978815438, 'cost': 218.84821978815438, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03674256666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 84253934.67184111, 'Cost factor': 84253934.67184111, 'sum Stepscores': 1404.2322445306852, 'n_Target': 1.6666666666666667e-05}",0.01645231666666666,84253934.67184111,7.925590191636757,5.0,True,S-B,Manual,Both
38,435.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)c3F)ccc21,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2cccc(-c3ccc4c(ccn4-c4cnccn4)c3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3ccc4c(ccn4-c4cnccn4)c3)c2-n2c3ccccc3c3ccccc32)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccc([Si](C)(C)c5ccc(-c6cccc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)c6F)cc5)cc4)c3F)ccc21,c1ccc2c(c1)[nH]c1ccccc12,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccc([Si](C)(C)c5ccc(-c6cccc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)c6-n6c7ccccc7c7ccccc76)cc5)cc4)c3-n3c4ccccc4c4ccccc43)ccc21,C[Si](C)(c1ccc(-c2cccc(-c3ccc4[nH]ccc4c3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3ccc4[nH]ccc4c3)c2-n2c3ccccc3c3ccccc32)cc1,Brc1nccnc1,"[{'reaction': 'Suzuki', 'StepScore': 1.223080388597903, 'cost': 1.223080388597903, 'time': 0.24804259351539967, 'money': 27.041102866666666, 'materials': 0.18234940000000002, 'yield': 1, '# man steps': 0}, {'reaction': 'Suzuki', 'StepScore': 94.88093171209896, 'cost': 0.22001161712441517, 'time': 0.24804259351539967, 'money': 12.9944195, 'materials': 0.06825940000000003, 'yield': 1, '# man steps': 1}, {'reaction': 'SNAr', 'StepScore': 398.7195317909339, 'cost': 398.7195317909339, 'time': 20.099532983070638, 'money': 344.5155888, 'materials': 0.05758013333333334, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald_deprotection', 'StepScore': 225.5143798913771, 'cost': 225.5143798913771, 'time': 20.099532983070638, 'money': 344.393869, 'materials': 0.032578633333333336, 'yield': 1, '# man steps': 1}, {'reaction': 'Buchwald', 'StepScore': 228.2028213516893, 'cost': 228.2028213516893, 'time': 18.553415061295972, 'money': 321.03299246666666, 'materials': 0.03831311666666667, 'yield': 1, '# man steps': 1}]","{'RouteScore': 56912444.70808183, 'Cost factor': 56912444.70808183, 'sum Stepscores': 948.5407451346972, 'n_Target': 1.6666666666666667e-05}",0.018022866666666665,56912444.70808183,7.755207241388082,4.0,True,S-B,Manual,Both
