,mol_matches,rxn_matches,total_matches,rs_mols,rs_rxns,rs_total,fg_mols,fg_rxns,fg_total
number,3789,3722,7511,3885,3869,7754,5167,6165,11332
wingSuzuki,3789,3722,7511,3885,110,7754,5167,110,11332
pentamerSuzuki,3789,3722,7511,3885,1980,7754,5167,1980,11332
deBoc,3789,3722,7511,3885,247,7754,5167,259,11332
BHA,3789,3722,7511,3885,247,7754,5167,259,11332
SNAr,3789,3722,7511,3885,1280,7754,5167,3557,11332
