,not_matched
521,C[Si](C)(c1ccccc1-c1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1)c1ccccc1-c1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
522,Fc1ccc(-c2ccc(-c3cc(Cl)c(-c4ccc(-c5ccc(F)c6ccccc56)cc4)s3)cc2)c2ccccc12
523,Cn1ncc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-c1ccccc1Oc1ccccc1-c1c(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cnn1C
524,Fc1ccc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccc(F)c7ccccc67)c5-n5c6ccccc6c6ccccc65)cc4c3)c2-n2c3ccccc3c3ccccc32)c2ccccc12
525,Clc1cc(-c2cc3cc(-c4ccco4)ccc3o2)sc1-c1cc2cc(-c3ccco3)ccc2o1
526,Fc1cc(F)cc(-c2cccc(F)c2-c2ccc(-c3c(F)cccc3-c3cc(F)cc(F)c3)nc2)c1
527,c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2ccc3oc(-c4cccc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)c4)cc3c2)c1
528,Fc1ccc(-c2ccc3oc(-c4cccc5cccc(-c6cc7cc(-c8ccc(F)c9ccccc89)ccc7o6)c45)cc3c2)c2ccccc12
529,Cn1ncc(-c2cc(F)cc(F)c2)c1-c1ccc([Si](C)(C)c2ccc(-c3c(-c4cc(F)cc(F)c4)cnn3C)cc2)cc1
530,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cc(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c4ccccc4c3)ccc21
531,Cn1ncc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c1-c1c(F)c(F)c(-c2c(-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)cnn2C)c2nsnc12
532,CC(C)(C)OC(=O)n1ccc2cc(-c3cc(-c4cnc5nc(-c6cc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)cc(C(F)(F)F)c6)ccc5c4)cc(C(F)(F)F)c3)ccc21
533,Fc1c(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cccc1-c1cc(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2F)c(Cl)cc1Cl
534,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)ccc2-c2ccc(-c3c(F)cccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)cc21
535,CSc1cncc(-c2cccc(F)c2-c2cc(-c3c(F)cccc3-c3cncc(SC)c3)c(Cl)cc2Cl)c1
536,Cc1nc2c(-c3ccc(-c4nccs4)cc3)c3nsnc3c(-c3ccc(-c4nccs4)cc3)c2nc1C
537,Fc1ccc(-c2ccc3oc(-c4cc(-c5cc6cc(-c7ccc(F)c8ccccc78)ccc6o5)c(Cl)cc4Cl)cc3c2)c2ccccc12
538,Cc1nc2c(-c3c(F)cccc3-c3cc(Cl)ccc3Cl)c3nsnc3c(-c3c(F)cccc3-c3cc(Cl)ccc3Cl)c2nc1C
539,CSc1cncc(-c2ncccc2-c2cnc3nc(-c4cccnc4-c4cncc(SC)c4)ccc3c2)c1
540,Fc1c(-c2ccc3c(ccn3-c3cnccn3)c2)cccc1-c1ccccc1Oc1ccccc1-c1cccc(-c2ccc3c(ccn3-c3cnccn3)c2)c1F
541,Cn1ncc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c1-c1cc(-c2c(-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)cnn2C)c2ccccc2c1
542,Fc1ccc(-c2cccc(-c3ccc4nc5ccc(-c6cccc(-c7ccc(F)c8ccccc78)c6-n6c7ccccc7c7ccccc76)cc5nc4c3)c2-n2c3ccccc3c3ccccc32)c2ccccc12
543,CS(=O)(=O)c1cncc(-c2ccc3oc(-c4ccc(-c5cc6cc(-c7cncc(S(C)(=O)=O)c7)ccc6o5)o4)cc3c2)c1
544,c1cc2cc(-c3ccc(-c4ccc5oc(-c6ccc(-c7ccc8[nH]ccc8c7)s6)cc5c4)s3)ccc2[nH]1
545,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)c3F)ccc21
546,CC(C)(C)c1ccc2c(-c3sccc3-c3ccc4c(ccn4-c4cnccn4)c3)c3ccccc3c(-c3sccc3-c3ccc4c(ccn4-c4cnccn4)c3)c2c1
547,Fc1cc(F)cc(-c2ccc(-c3ccccc3Oc3ccccc3-c3ccc(-c4cc(F)cc(F)c4)s3)s2)c1
548,FC(F)(F)c1cc(-c2ccco2)cc(-c2cc(-c3cc(-c4ccco4)cc(C(F)(F)F)c3)c(Cl)cc2Cl)c1
549,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3cccnc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)ccc2-c2ccc(-c3cccnc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc21
550,c1cc(-c2ccc3[nH]ccc3c2)c(-c2ccc(-c3c(-c4ccc5[nH]ccc5c4)cccc3-n3c4ccccc4c4ccccc43)o2)c(-n2c3ccccc3c3ccccc32)c1
551,Fc1c(-c2nccs2)cccc1-c1ccccc1Oc1ccccc1-c1cccc(-c2nccs2)c1F
552,Fc1cc(-c2ncccc2-c2cc(F)c(-c3cccnc3-c3ccnc(F)c3)cc2F)ccn1
553,Fc1c(F)c(-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)s2)c2nsnc2c1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)s1
554,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4ccccc4Oc4ccccc4-c4ccc(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)s4)s3)ccc21
555,C[Si](C)(c1ccc(-c2cccc(-c3nccs3)c2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2cccc(-c3nccs3)c2-n2c3ccccc3c3ccccc32)cc1
556,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)cc21
557,C[Si](C)(c1ccccc1-c1ccc(-c2ccco2)s1)c1ccccc1-c1ccc(-c2ccco2)s1
558,Fc1cc(-c2c(F)cccc2-c2nccs2)c(F)cc1-c1c(F)cccc1-c1nccs1
559,c1coc(-c2ncccc2-c2cnc3nc(-c4cccnc4-c4ccco4)ccc3c2)c1
560,Fc1ccc(-c2ccc3oc(-c4ccc5c(c4)C4(c6ccccc6-c6ccccc64)c4cc(-c6cc7cc(-c8ccc(F)c9ccccc89)ccc7o6)ccc4-5)cc3c2)c2ccccc12
561,Fc1cc(-c2cccc(F)c2-c2cccc3cccc(-c4c(F)cccc4-c4ccnc(F)c4)c23)ccn1
562,Fc1c(F)c(-c2cccc(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)c2)c2nsnc2c1-c1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
563,c1cnc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-c2ccc(-c3cccnc3-c3ccnc(-n4c5ccccc5c5ccccc54)c3)nc2)c1
564,Fc1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)ccn1
565,FC(F)(F)c1cc(-c2ccc3[nH]ccc3c2)cc(-c2cc(-c3cc(-c4ccc5[nH]ccc5c4)cc(C(F)(F)F)c3)c3ccccc3c2)c1
566,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(F)cccc3-c3ccc4c(ccn4-c4cnccn4)c3)ccc2-c2ccc(-c3c(F)cccc3-c3ccc4c(ccn4-c4cnccn4)c3)cc21
567,Fc1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c(Cl)cc2Cl)ccn1
568,Fc1cc(-c2ccccc2-c2ccc3[nH]ccc3c2)c(F)cc1-c1ccccc1-c1ccc2[nH]ccc2c1
569,c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(-c3cccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)c3)c3ccccc3c2)c1
570,Fc1c(F)c(-c2cccnc2-c2ccc3[nH]ccc3c2)c2nsnc2c1-c1cccnc1-c1ccc2[nH]ccc2c1
571,c1cc(-c2ccc(-c3nccs3)s2)c2c(-c3ccc(-c4nccs4)s3)cccc2c1
572,C[Si](C)(c1ccccc1-c1cccnc1-c1ccc(F)c2ccccc12)c1ccccc1-c1cccnc1-c1ccc(F)c2ccccc12
573,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc3)ccc2-c2ccc(-c3ccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc3)cc21
574,CSc1cncc(-c2ccc(-c3cc(-c4ccc(-c5cncc(SC)c5)cc4)c4ccccc4c3)cc2)c1
575,Fc1c(F)c(-c2sccc2-c2cc(Cl)ccc2Cl)c2nsnc2c1-c1sccc1-c1cc(Cl)ccc1Cl
576,c1ccc2c(-n3c4ccccc4c4ccccc43)ccc(-c3ccc4oc(-c5cnc6nc(-c7cc8cc(-c9ccc(-n%10c%11ccccc%11c%11ccccc%11%10)c%10ccccc9%10)ccc8o7)ccc6c5)cc4c3)c2c1
577,Fc1c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cccc1-c1ccccc1Oc1ccccc1-c1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1F
578,CC(C)(C)c1ccc2c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c3ccccc3c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c2c1
579,C[Si](C)(c1ccccc1-c1ccccc1-c1ccnc(-n2c3ccccc3c3ccccc32)c1)c1ccccc1-c1ccccc1-c1ccnc(-n2c3ccccc3c3ccccc32)c1
580,C[Si](C)(c1ccccc1-c1ccc(-c2ccnc(F)c2)cc1)c1ccccc1-c1ccc(-c2ccnc(F)c2)cc1
581,Clc1ccc(Cl)c(-c2ccc3oc(-c4cc(-c5cc6cc(-c7cc(Cl)ccc7Cl)ccc6o5)c5ccccc5c4)cc3c2)c1
582,CSc1cncc(-c2ccc3oc(-c4cc(-c5cc6cc(-c7cncc(SC)c7)ccc6o5)c(Cl)cc4Cl)cc3c2)c1
583,CS(=O)(=O)c1cncc(-c2cc(-c3cc(-c4cc(-c5cncc(S(C)(=O)=O)c5)cc(C(F)(F)F)c4)c4ccccc4c3)cc(C(F)(F)F)c2)c1
584,C[Si](C)(c1ccccc1-c1cccc(-c2ccnc(F)c2)c1F)c1ccccc1-c1cccc(-c2ccnc(F)c2)c1F
585,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccsc2-c2cnc3nc(-c4sccc4-c4ccnc(-n5c6ccccc6c6ccccc65)c4)ccc3c2)ccn1
586,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc4oc(-c5cc(-n6c7ccccc7c7ccccc76)c(-c6cc7cc(-c8ccc9c(ccn9C(=O)OC(C)(C)C)c8)ccc7o6)cc5-n5c6ccccc6c6ccccc65)cc4c3)ccc21
587,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5nccs5)s4)nc3)s2)n1
588,c1cc(-c2cc(-c3cccc(-c4nccs4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2nccs2)c1
589,Fc1c(F)c(-c2cccc(-c3ccc4c(ccn4-c4cnccn4)c3)c2-n2c3ccccc3c3ccccc32)c2nsnc2c1-c1cccc(-c2ccc3c(ccn3-c3cnccn3)c2)c1-n1c2ccccc2c2ccccc21
590,CS(=O)(=O)c1cncc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4ccc(-c5cncc(S(C)(=O)=O)c5)cc4)cc3-n3c4ccccc4c4ccccc43)cc2)c1
591,CS(=O)(=O)c1cncc(-c2cccc(F)c2-c2cccc3cccc(-c4c(F)cccc4-c4cncc(S(C)(=O)=O)c4)c23)c1
592,c1cc(-c2cnc3nc(-c4cccc(-c5ccc6c(ccn6-c6cnccn6)c5)c4)ccc3c2)cc(-c2ccc3c(ccn3-c3cnccn3)c2)c1
593,CS(=O)(=O)c1cncc(-c2ccccc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4ccccc4-c4cncc(S(C)(=O)=O)c4)ccc2-3)c1
594,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3ccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)s3)ccc2-c2ccc(-c3ccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)s3)cc21
595,CS(=O)(=O)c1cncc(-c2cccc(-c3cc(F)c(-c4cccc(-c5cncc(S(C)(=O)=O)c5)c4)cc3F)c2)c1
596,c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3oc(-c4cccc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)c4-n4c5ccccc5c5ccccc54)cc3c2)c1
597,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccco4)s3)ccc2-c2ccc(-c3ccc(-c4ccco4)s3)cc21
598,Fc1cc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5ccnc(F)c5)c4F)cc3-n3c4ccccc4c4ccccc43)c2F)ccn1
599,Fc1cc(-c2sccc2-c2nccs2)c(F)cc1-c1sccc1-c1nccs1
600,Fc1cc(F)cc(-c2cccc(-c3ccc4oc(-c5cccc(-c6cc(F)cc(F)c6)c5-n5c6ccccc6c6ccccc65)cc4c3)c2-n2c3ccccc3c3ccccc32)c1
601,Fc1cc(F)cc(-c2ncccc2-c2ccc(-c3cccnc3-c3cc(F)cc(F)c3)nc2)c1
602,Fc1cc(-c2c(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)cccc2-n2c3ccccc3c3ccccc32)c(F)cc1-c1c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)cccc1-n1c2ccccc2c2ccccc21
603,C[Si](C)(c1ccccc1-c1c(-c2cc(Cl)ccc2Cl)cccc1-n1c2ccccc2c2ccccc21)c1ccccc1-c1c(-c2cc(Cl)ccc2Cl)cccc1-n1c2ccccc2c2ccccc21
604,C[Si](C)(c1ccc(-c2cccc(-c3ccc4c(ccn4-c4cnccn4)c3)c2F)cc1)c1ccc(-c2cccc(-c3ccc4c(ccn4-c4cnccn4)c3)c2F)cc1
605,Fc1cc(-c2c(F)cccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(F)cc1-c1c(F)cccc1-c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1
606,Fc1c(-c2ccco2)cccc1-c1ccccc1Oc1ccccc1-c1cccc(-c2ccco2)c1F
607,CSc1cncc(-c2cc(-c3ccc(-c4cc(-c5cncc(SC)c5)cc(C(F)(F)F)c4)nc3)cc(C(F)(F)F)c2)c1
608,Fc1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(F)c5)s4)nc3)s2)ccn1
609,Cn1ncc(-c2cc(Cl)ccc2Cl)c1-c1cccc2cccc(-c3c(-c4cc(Cl)ccc4Cl)cnn3C)c12
610,Fc1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)ccn1
611,c1ccc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)s2)c(Oc2ccccc2-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)s2)c1
612,c1cc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-n2c3ccccc3c3ccccc32)c(-c2cccc3cccc(-c4cccc(-c5ccc6c(ccn6-c6cnccn6)c5)c4-n4c5ccccc5c5ccccc54)c23)c1
613,Fc1c(F)c(-c2sccc2-c2ccc3[nH]ccc3c2)c2nsnc2c1-c1sccc1-c1ccc2[nH]ccc2c1
614,Cn1ncc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c1-c1cccc2cccc(-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cnn3C)c12
615,c1cnc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cc2-n2c3ccccc3c3ccccc32)c1
616,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4nccs4)c3F)ccc2-c2ccc(-c3cccc(-c4nccs4)c3F)cc21
617,CSc1cncc(-c2cccc(-c3ccc(-c4cccc(-c5cncc(SC)c5)c4-n4c5ccccc5c5ccccc54)o3)c2-n2c3ccccc3c3ccccc32)c1
618,C[Si](C)(c1ccc(-c2cc(-c3ccc4c(ccn4-c4cnccn4)c3)cc(C(F)(F)F)c2)cc1)c1ccc(-c2cc(-c3ccc4c(ccn4-c4cnccn4)c3)cc(C(F)(F)F)c2)cc1
619,c1ccc(-c2cccc3cccc(-c4ccccc4-c4ccc5c(ccn5-c5cnccn5)c4)c23)c(-c2ccc3c(ccn3-c3cnccn3)c2)c1
620,Cc1nc2c(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)c3nsnc3c(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)c2nc1C
621,CS(=O)(=O)c1cncc(-c2cccc(F)c2-c2ccccc2Oc2ccccc2-c2c(F)cccc2-c2cncc(S(C)(=O)=O)c2)c1
622,Cc1nc2c(-c3cccc(-c4nccs4)c3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3cccc(-c4nccs4)c3-n3c4ccccc4c4ccccc43)c2nc1C
623,CC(C)(C)OC(=O)n1ccc2cc(-c3ccsc3-c3ccc4nc5ccc(-c6sccc6-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5nc4c3)ccc21
624,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccco4)cnn3C)ccc2-c2ccc(-c3c(-c4ccco4)cnn3C)cc21
625,Fc1cccc(-c2ccco2)c1-c1ccccc1Oc1ccccc1-c1c(F)cccc1-c1ccco1
626,Clc1cc(-c2cccnc2-c2ccco2)sc1-c1cccnc1-c1ccco1
627,Clc1cc(-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)cc2)sc1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)cc1
628,c1cc(-c2ccc(-c3cccc(-c4ccc5ncccc5c4)c3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc3ncccc3c2)c1
629,FC(F)(F)c1cc(-c2nccs2)cc(-c2cccc3cccc(-c4cc(-c5nccs5)cc(C(F)(F)F)c4)c23)c1
630,c1cc(-c2ccc3[nH]ccc3c2)c(-c2cnc3nc(-c4c(-c5ccc6[nH]ccc6c5)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c(-n2c3ccccc3c3ccccc32)c1
631,Fc1cc(-c2c(F)cccc2-c2ccc3c(ccn3-c3cnccn3)c2)c(F)cc1-c1c(F)cccc1-c1ccc2c(ccn2-c2cnccn2)c1
632,CSc1cncc(-c2ncccc2-c2cc(-c3cccnc3-c3cncc(SC)c3)c3ccccc3c2)c1
633,Fc1cccc(-c2ccco2)c1-c1ccc(-c2c(F)cccc2-c2ccco2)o1
634,CC(C)(C)c1ccc2c(-c3cc(-c4ccco4)cc(C(F)(F)F)c3)c3ccccc3c(-c3cc(-c4ccco4)cc(C(F)(F)F)c3)c2c1
635,CS(=O)(=O)c1cncc(-c2ccc3oc(-c4cccc5cccc(-c6cc7cc(-c8cncc(S(C)(=O)=O)c8)ccc7o6)c45)cc3c2)c1
636,Fc1c(-c2cc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3F)c3ccccc3c2)cccc1-c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12
637,CS(=O)(=O)c1cncc(-c2ncccc2-c2ccc3oc(-c4cccnc4-c4cncc(S(C)(=O)=O)c4)cc3c2)c1
638,FC(F)(F)c1cc(-c2ccc(-c3cc(-c4nccs4)cc(C(F)(F)F)c3)nc2)cc(-c2nccs2)c1
639,CSc1cncc(-c2ccc(-c3cnc4nc(-c5ccc(-c6cncc(SC)c6)cc5)ccc4c3)cc2)c1
640,Clc1cc(Cl)c(-c2sccc2-c2ccc3[nH]ccc3c2)cc1-c1sccc1-c1ccc2[nH]ccc2c1
641,CSc1cncc(-c2ccc(-c3cc(Cl)c(-c4ccc(-c5cncc(SC)c5)s4)s3)s2)c1
642,Fc1cc(-c2cc(-c3cc(-c4cc(-c5ccnc(F)c5)cc(C(F)(F)F)c4)c4ccccc4c3)cc(C(F)(F)F)c2)ccn1
643,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)cc21
644,CC(C)(C)c1ccc2c(-c3c(-c4cc(F)cc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4cc(F)cc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c2c1
645,CS(=O)(=O)c1cncc(-c2ccccc2-c2cc(F)c(-c3ccccc3-c3cncc(S(C)(=O)=O)c3)cc2F)c1
646,CSc1cncc(-c2cccc(F)c2-c2ccc3oc(-c4c(F)cccc4-c4cncc(SC)c4)cc3c2)c1
647,c1cc(-c2cc3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)ccc3o2)c2c(-c3cc4cc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)ccc4o3)cccc2c1
648,c1ccc(-c2ccccc2-c2nccs2)c(Oc2ccccc2-c2ccccc2-c2nccs2)c1
649,C[Si](C)(c1ccccc1-c1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1F)c1ccccc1-c1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1F
650,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc3oc(-c4cc(-n5c6ccccc6c6ccccc65)c(-c5cc6cc(-c7ccnc(-n8c9ccccc9c9ccccc98)c7)ccc6o5)cc4-n4c5ccccc5c5ccccc54)cc3c2)ccn1
651,CS(=O)(=O)c1cncc(-c2ccc(-c3cc(-c4ccc(-c5cncc(S(C)(=O)=O)c5)cc4)c(Cl)cc3Cl)cc2)c1
652,Fc1cccc(-c2nccs2)c1-c1c(F)c(F)c(-c2c(F)cccc2-c2nccs2)c2nsnc12
653,Fc1cccc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1-c1ccc(-c2c(F)cccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)nc1
654,c1coc(-c2ncccc2-c2ccc3oc(-c4cccnc4-c4ccco4)cc3c2)c1
655,CSc1cncc(-c2cnn(C)c2-c2ccc3oc(-c4c(-c5cncc(SC)c5)cnn4C)cc3c2)c1
656,Cc1nc2c(-c3ccc(-c4ccc(F)c5ccccc45)s3)c3nsnc3c(-c3ccc(-c4ccc(F)c5ccccc45)s3)c2nc1C
657,Cn1ncc(-c2ccnc(F)c2)c1-c1ccc2oc(-c3c(-c4ccnc(F)c4)cnn3C)cc2c1
658,Fc1cc(F)cc(-c2ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(-c6cc(F)cc(F)c6)s5)ccc3-4)s2)c1
659,Fc1cc(F)cc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5cc(F)cc(F)c5)c4)s3)c2)c1
660,Fc1cccc(-c2nccs2)c1-c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(-c3c(F)cccc3-c3nccs3)ccc1-2
661,C[Si](C)(c1ccccc1-c1ccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)s1)c1ccccc1-c1ccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)s1
662,Cn1ncc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1cccc2cccc(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cnn3C)c12
663,Fc1cc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5ccnc(F)c5)c4F)c4nsnc34)c2F)ccn1
664,Fc1cc(-c2ccccc2-c2ccc3nc4ccc(-c5ccccc5-c5ccnc(F)c5)cc4nc3c2)ccn1
665,Fc1cc(-c2cc(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)cc(C(F)(F)F)c2)c(F)cc1-c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)cc(C(F)(F)F)c1
666,CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(F)c3-c3cc(-n4c5ccccc5c5ccccc54)c(-c4c(F)cccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3-n3c4ccccc4c4ccccc43)ccc21
667,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccnc3-c3cncc(SC)c3)ccc2-c2ccc(-c3cccnc3-c3cncc(SC)c3)cc21
668,Fc1cc(-c2ccc(-c3ccc4oc(-c5ccc(-c6ccnc(F)c6)s5)cc4c3)s2)ccn1
669,Fc1cc(-c2cccc(-c3cc(F)c(-c4cccc(-c5ccnc(F)c5)c4F)cc3F)c2F)ccn1
670,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4cc(F)c(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)cc4F)cc3)ccc21
671,CSc1cncc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4cncc(SC)c4)cccc3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c1
672,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccco4)c3)ccc2-c2ccc(-c3cccc(-c4ccco4)c3)cc21
