,not_matched
34,Cn1ncc(-c2ccc(F)c3ccccc23)c1-c1ccc2nc3ccc(-c4c(-c5ccc(F)c6ccccc56)cnn4C)cc3nc2c1
35,Cn1ncc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c1-c1cnc2nc(-c3c(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cnn3C)ccc2c1
36,CC(C)(C)c1ccc2c(-c3cccnc3-c3ccnc(F)c3)c3ccccc3c(-c3cccnc3-c3ccnc(F)c3)c2c1
37,Cc1nc2c(-c3sccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)c3nsnc3c(-c3sccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)c2nc1C
38,Fc1c(-c2cc(Cl)c(-c3cccc(-c4cc(Cl)ccc4Cl)c3F)s2)cccc1-c1cc(Cl)ccc1Cl
39,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)cc21
40,C[Si](C)(c1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)cc1)c1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)cc1
41,CSc1cncc(-c2ccc(-c3ccc(-c4ccc(-c5cncc(SC)c5)cc4)o3)cc2)c1
42,C[Si](C)(c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1)c1ccc(-c2cccc(-c3ccnc(F)c3)c2F)cc1
43,Fc1c(F)c(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2)c2nsnc2c1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1
44,Fc1cccc(-c2ccc3[nH]ccc3c2)c1-c1ccccc1Oc1ccccc1-c1c(F)cccc1-c1ccc2[nH]ccc2c1
45,Fc1c(-c2ccc3oc(-c4cccc(-c5ccco5)c4F)cc3c2)cccc1-c1ccco1
46,CS(=O)(=O)c1cncc(-c2ccsc2-c2cc(Cl)c(-c3sccc3-c3cncc(S(C)(=O)=O)c3)s2)c1
47,Fc1c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cccc1-c1ccc2nc3ccc(-c4cccc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)c4F)cc3nc2c1
48,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3)c3ccccc3c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3)c2c1
49,CSc1cncc(-c2cc(-c3cc(-c4cc(-c5cncc(SC)c5)cc(C(F)(F)F)c4)c4ccccc4c3)cc(C(F)(F)F)c2)c1
50,CC(C)(C)OC(=O)n1ccc2cc(-c3ccsc3-c3c(F)c(F)c(-c4sccc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c4nsnc34)ccc21
51,CSc1cncc(-c2cccc(F)c2-c2ccccc2[Si](C)(C)c2ccccc2-c2c(F)cccc2-c2cncc(SC)c2)c1
52,Cn1ncc(-c2cc(F)cc(F)c2)c1-c1ccc2nc3ccc(-c4c(-c5cc(F)cc(F)c5)cnn4C)cc3nc2c1
53,CS(=O)(=O)c1cncc(-c2ncccc2-c2ccc(-c3cccnc3-c3cncc(S(C)(=O)=O)c3)nc2)c1
54,c1csc(-c2ccc3oc(-c4cnc5nc(-c6cc7cc(-c8nccs8)ccc7o6)ccc5c4)cc3c2)n1
55,c1coc(-c2ccccc2-c2ccccc2Oc2ccccc2-c2ccccc2-c2ccco2)c1
56,Fc1ccc(-c2ncccc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4cccnc4-c4ccc(F)c5ccccc45)ccc2-3)c2ccccc12
57,c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(-c2ccc3nc4ccc(-c5c(-c6cc(-n7c8ccccc8c8ccccc87)cc(-n7c8ccccc8c8ccccc87)c6)cccc5-n5c6ccccc6c6ccccc65)cc4nc3c2)c(-n2c3ccccc3c3ccccc32)c1
58,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-c2cnc3nc(-c4c(-c5ccnc(-n6c7ccccc7c7ccccc76)c5)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c(-n2c3ccccc3c3ccccc32)c1
59,Fc1c(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cccc1-c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3F)ccc1-2
60,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cc(-c4ccc5[nH]ccc5c4)cc(C(F)(F)F)c3)ccc2-c2ccc(-c3cc(-c4ccc5[nH]ccc5c4)cc(C(F)(F)F)c3)cc21
61,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccnc3-c3nccs3)ccc2-c2ccc(-c3cccnc3-c3nccs3)cc21
